Tube.ID,Tube lable ,Date,Location,colony_id,Species,Fixative,Goal,Process,TREATMENT,Note,Slury.vol.ml,,
175,92,20261402,Papagayo,POC_24,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
176,92,20261402,Papagayo,POC_24,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
177,93,20261402,Papagayo,POC_25,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
178,93,20261402,Papagayo,POC_25,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
179,94,20261402,Papagayo,POC_26,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
180,94,20261402,Papagayo,POR_26,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
181,95,20261402,Papagayo,POC_27,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
182,95,20261402,Papagayo,POC_27,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
183,96,20261402,Papagayo,POC_28,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
184,96,20261402,Papagayo,POC_28,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
185,97,20261402,Papagayo,POC_29,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
186,97,20261402,Papagayo,POC_29,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
187,98,20261402,Papagayo,POC_30,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
188,98,20261402,Papagayo,POR_30,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
189,99,20261402,Papagayo,POR_31,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
190,99,20261402,Papagayo,POR_31,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
191,100,20261402,Papagayo,POR_32,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
192,100,20261402,Papagayo,POR_32,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
193,101,20261402,Papagayo,POR_33,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
194,101,20261402,Papagayo,POR_33,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
195,102,20261402,Papagayo,POR_34,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
196,102,20261402,Papagayo,POR_34,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
197,103,20261402,Papagayo,POR_35,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
198,103,20261402,Papagayo,POR_35,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
199,104,20261402,Papagayo,POR_36,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
200,104,20261402,Papagayo,POR_36,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
201,105,20261402,Papagayo,POR_37,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
202,105,20261402,Papagayo,POR_37,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
203,106,20261402,Papagayo,POR_38,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
204,106,20261402,Papagayo,POR_38,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
205,107,20261402,Papagayo,POR_39,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
206,107,20261402,Papagayo,POR_39,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
207,108,20261402,Papagayo,POR_40,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
208,108,20261402,Papagayo,POR_40,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
209,109,20261402,Papagayo,POC_21,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
210,109,20261402,Papagayo,POC_21,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
211,110,20261402,Papagayo,POC_22,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
212,110,20261402,Papagayo,POC_22,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
213,111,20261402,Papagayo,POC_23,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
214,111,20261402,Papagayo,POC_23,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
215,112,20261402,Papagayo,POC_24,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
216,112,20261402,Papagayo,POC_24,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
217,113,20261402,Papagayo,POC_25,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
218,113,20261402,Papagayo,POC_25,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
219,114,20261402,Papagayo,POC_26,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
220,114,20261402,Papagayo,POR_26,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
221,115,20261402,Papagayo,POC_27,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
222,115,20261402,Papagayo,POC_27,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
223,116,20261402,Papagayo,POC_28,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
