,...1,Species,Colony,Site,Temp,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
66,66,Poccilopora,POC_25,Papagayo,34,20260216.07,2/16/2026,59156,647.9,-0.3,24.7,15.88,98.6,145,46.4,0.32,255.9,0.25,0.56,338,0.14,2896,0.3,147101,--------,-------,858,44011,700,135,144.9,9.9,0.068,209.7,0,0.382,521,0.598,14839,0.02,20264,--------,-------,9258,9473,108
67,67,Poccilopora,POC_28,Papagayo,34,20260216.07,2/16/2026,59203,484.8,-0.3,24.7,15.88,143.2,227.9,84.7,0.372,278.6,0.27,0.62,348,0.12,2512,0.26,127764,--------,-------,688,33801,500,230.3,253.7,23.5,0.093,176.7,0.1,0.254,715,0.722,14770,0.024,14784,--------,-------,11115,11205,90
68,68,Poccilopora,POC_26,Papagayo,34,20260216.07,2/16/2026,59241,479.7,-0.3,24.7,15.85,127.2,202.5,75.3,0.372,306.7,0.31,0.68,355,0.11,15808,0.21,356023,--------,-------,2488,77456,500,208,233.1,25,0.107,185.6,0,0.337,605,0.616,12425,0.046,12431,--------,-------,8243,8437,121.3
69,69,Poccilopora,POC_24,Papagayo,34,20260216.07,2/16/2026,59273,529.9,-0.3,24.8,15.84,100.8,160.4,59.7,0.372,271.4,0.33,0.68,378,0.08,10143,0.24,278729,--------,-------,1460,67391,700,163.5,182,18.5,0.102,178.9,0.22,0.262,635,0.019,14783,0.719,14788,--------,-------,11004,11076,90.9
70,70,Poccilopora,POC_27,Papagayo,34,20260216.07,2/16/2026,59307,476.4,-0.3,24.8,15.85,157,254.6,97.6,0.383,295.3,0.26,0.65,371,0.1,3860,0.25,141065,--------,-------,827,36315,500,240.8,265.9,25.1,0.094,189.2,0.16,0.307,802,0.68,13442,0.014,13542,--------,-------,9510,9564,105.2
71,1,Porites,POR_33,Papagayo,22,20260217,2/17/2026,34838,563.9,-0.3,21.4,16.98,266,463.7,197.7,0.426,334.6,0.24,0.61,418,0.23,1685,0.16,124934,--------,-------,763,20412,0,563.3,590.7,27.4,0.046,171.3,0,0.038,531,0.927,18446,0.035,45716,--------,-------,17746,18731,56.3
72,2,Porites,POC_40,Papagayo,22,20260217,2/17/2026,34864,564.9,-0.3,21.4,16.96,192.5,325.8,133.4,0.409,331,0.23,0.62,346,0.22,1528,0.16,127861,--------,-------,651,20891,300,407.2,428.6,21.4,0.05,150.9,0,0.046,570,0.936,18879,0.018,49654,--------,-------,18017,18587,55.5
73,3,Porites,POR_32,Papagayo,22,20260217,2/17/2026,34892,608.2,-0.3,21.4,16.94,177.1,289.9,112.8,0.389,329.9,0.24,0.65,378,0.19,1946,0.16,183277,--------,-------,730,30504,400,362.1,381.6,19.5,0.051,149.8,0,0.072,577,0.907,19309,0.021,44220,--------,-------,17926,18483,55.8
74,4,Porites,POC_31,Papagayo,22,20260217,2/17/2026,34928,456.8,-0.3,21.4,16.93,214.2,354.5,140.3,0.396,345.7,0.24,0.66,393,0.17,2016,0.17,148484,--------,-------,734,25811,300,422,453.3,31.2,0.069,152.1,0.17,0.162,526,0.825,20673,0.012,24866,--------,-------,17364,17457,57.6
75,5,Porites,POR_37,Papagayo,22,20260217.01,2/17/2026,34973,730.8,-0.3,21.5,16.9,203.6,353.3,149.7,0.424,339,0.3,0.66,379,0.18,1884,0.17,125029,--------,-------,697,21479,300,487.3,542.8,55.5,0.102,149.9,0.53,0.856,31,0.131,17061,0.013,47377,--------,-------,2295,2871,435.8
