MiniDOT Logger Concatenated Data File
Sensor:             7530-479402
Concatenation Date: 2026Feb10 14:52:20 CST


            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1719862080,           2024-07-01 19:28:00,           2024-07-01 13:28:00,      3.520000,     28.599000,     -0.000000,     1236.000000,      -16.000000,      252.000000
                1719862680,           2024-07-01 19:38:00,           2024-07-01 13:38:00,      3.520000,     28.599000,     -0.100000,     1238.000000,      -36.000000,      259.000000
                1719863280,           2024-07-01 19:48:00,           2024-07-01 13:48:00,      3.520000,     28.607000,      0.000000,     1239.000000,      -40.000000,      240.000000
                1719863880,           2024-07-01 19:58:00,           2024-07-01 13:58:00,      3.520000,     28.615000,     -0.000000,     1239.000000,      -24.000000,      240.000000
                1719864480,           2024-07-01 20:08:00,           2024-07-01 14:08:00,      3.520000,     28.615000,     -0.100000,     1240.000000,      -40.000000,      252.000000
                1719865080,           2024-07-01 20:18:00,           2024-07-01 14:18:00,      3.520000,     28.615000,      0.100000,     1235.000000,      -45.000000,      294.000000
                1719865680,           2024-07-01 20:28:00,           2024-07-01 14:28:00,      3.520000,     28.615000,     -0.000000,     1236.000000,      -45.000000,      262.000000
                1719866280,           2024-07-01 20:38:00,           2024-07-01 14:38:00,      3.520000,     28.509000,     -0.100000,     1199.000000,      -23.000000,      416.000000
                1719866880,           2024-07-01 20:48:00,           2024-07-01 14:48:00,      3.520000,     28.320000,      0.000000,     1235.000000,      -32.000000,      260.000000
                1719867480,           2024-07-01 20:58:00,           2024-07-01 14:58:00,      3.520000,     28.304000,     -0.100000,     1235.000000,      -48.000000,      265.000000
                1719868080,           2024-07-01 21:08:00,           2024-07-01 15:08:00,      3.520000,     28.345000,     -0.100000,     1238.000000,      -40.000000,      256.000000
                1719868680,           2024-07-01 21:18:00,           2024-07-01 15:18:00,      3.520000,     28.370000,     -0.000000,     1240.000000,      -56.000000,      223.000000
                1719869280,           2024-07-01 21:28:00,           2024-07-01 15:28:00,      3.520000,     28.353000,      0.000000,     1240.000000,      -16.000000,      236.000000
                1719869880,           2024-07-01 21:38:00,           2024-07-01 15:38:00,      3.520000,     28.320000,     -0.000000,     1236.000000,      -24.000000,      262.000000
                1719870480,           2024-07-01 21:48:00,           2024-07-01 15:48:00,      3.520000,     28.312000,     -0.100000,     1235.000000,       -8.000000,      262.000000
                1719871080,           2024-07-01 21:58:00,           2024-07-01 15:58:00,      3.520000,     28.222000,      0.000000,     1203.000000,      -60.000000,      399.000000
                1719871680,           2024-07-01 22:08:00,           2024-07-01 16:08:00,      3.520000,     28.165000,     -0.100000,     1200.000000,      -20.000000,      392.000000
                1719872280,           2024-07-01 22:18:00,           2024-07-01 16:18:00,      3.520000,     28.115000,     -0.000000,     1240.000000,      -32.000000,      263.000000
                1719872880,           2024-07-01 22:28:00,           2024-07-01 16:28:00,      3.520000,     28.091000,      0.000000,     1204.000000,      -32.000000,      374.000000
                1719873480,           2024-07-01 22:38:00,           2024-07-01 16:38:00,      3.520000,     28.066000,      0.100000,     1203.000000,      -93.000000,      408.000000
                1719874080,           2024-07-01 22:48:00,           2024-07-01 16:48:00,      3.520000,     28.050000,      0.000000,     1235.000000,        4.000000,      268.000000
                1719874680,           2024-07-01 22:58:00,           2024-07-01 16:58:00,      3.520000,     28.042000,     -0.000000,     1204.000000,      -40.000000,      384.000000
                1719875280,           2024-07-01 23:08:00,           2024-07-01 17:08:00,      3.520000,     28.017000,     -0.100000,     1201.000000,      -16.000000,      396.000000
                1719875880,           2024-07-01 23:18:00,           2024-07-01 17:18:00,      3.520000,     28.009000,     -0.100000,     1200.000000,      -40.000000,      398.000000
                1719876480,           2024-07-01 23:28:00,           2024-07-01 17:28:00,      3.520000,     28.000000,     -0.100000,     1203.000000,      -50.000000,      384.000000
